Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
   75          Valid   7/7  25/05/12  06:10:06  25/05/12  06:10:05.684     -0.316     40.53938    141.55777        43.14     2.0         1.1            28.0        4.00
   76          Valid   7/7  25/05/12  06:15:06  25/05/12  06:15:05.685     -0.315     40.53936    141.55790        50.81     1.1         1.8            29.5        4.00
   77          Valid   7/7  25/05/12  06:20:07  25/05/12  06:20:06.696     -0.304     40.53928    141.55796        46.48     2.2         1.0            32.0        4.00
   78          Valid   7/7  25/05/12  06:25:07  25/05/12  06:25:06.691     -0.309     40.53935    141.55787        46.35     2.3         0.8            33.5        4.00
   79          Valid   8/8  25/05/12  06:30:06  25/05/12  06:30:05.687     -0.313     40.53933    141.55794        55.76     1.1         2.9            34.0        4.00
   80          Valid   8/8  25/05/12  06:35:11  25/05/12  06:35:10.694     -0.306     40.53935    141.55789        45.34     1.1         1.1            35.0        4.00
   81          Valid   6/6  25/05/12  06:40:08  25/05/12  06:40:07.686     -0.314     40.53938    141.55787        45.41     6.6         0.4            34.5        4.00
   82          Valid   8/8  25/05/12  06:45:06  25/05/12  06:45:05.687     -0.313     40.53933    141.55793        55.46     1.3         2.3            34.0        4.00
   83          Valid   7/7  25/05/12  06:50:13  25/05/12  06:50:12.403     -0.597     40.55008    141.57768        51.26     1.4         0.9            29.5        4.00
   84          Valid   6/7  25/05/12  06:55:06  25/05/12  06:55:05.689     -0.311     40.54704    141.57556        54.03     1.6         1.2            23.0        4.00
   85          Valid   7/7  25/05/12  07:00:07  25/05/12  07:00:06.703     -0.297     40.54266    141.56412        39.29     1.3         2.1            24.5        4.00
   86          Valid   8/8  25/05/12  07:05:06  25/05/12  07:05:05.685     -0.315     40.53831    141.55863        40.94     2.2         0.4            22.5        4.00
   87          Valid   8/8  25/05/12  07:10:06  25/05/12  07:10:05.680     -0.320     40.53826    141.55860        40.41     2.1         1.3            26.5        4.00
   88          Valid   8/8  25/05/12  07:15:06  25/05/12  07:15:05.680     -0.320     40.53830    141.55850        39.61     1.0         1.4            28.0        4.00
   89          Valid   8/8  25/05/12  07:20:07  25/05/12  07:20:06.671     -0.329     40.53832    141.55848        40.92     1.7         1.5            29.0        4.00
   90          Valid   7/7  25/05/12  07:25:06  25/05/12  07:25:05.673     -0.327     40.53828    141.55850        40.93     2.1         0.9            29.5        4.00
   91          Valid   6/6  25/05/12  07:30:07  25/05/12  07:30:06.676     -0.324     40.53932    141.55796        42.59     2.1         0.5            29.5        4.00
   92          Valid   8/8  25/05/12  07:35:06  25/05/12  07:35:05.677     -0.323     40.53931    141.55791        44.89     1.4         1.8            30.0        4.00
   93          Valid   6/6  25/05/12  07:40:07  25/05/12  07:40:06.669     -0.331     40.53928    141.55791        39.98     2.3         0.5            31.0        4.00
   94          Valid   8/8  25/05/12  07:45:06  25/05/12  07:45:05.676     -0.324     40.53932    141.55790        39.74     1.4         1.4            31.5        4.00
   95          Valid   7/7  25/05/12  07:50:06  25/05/12  07:50:05.669     -0.331     40.53926    141.55788        42.00     1.4         0.8            31.5        4.00
   96          Valid   7/7  25/05/12  07:55:08  25/05/12  07:55:07.675     -0.325     40.53931    141.55791        48.77     1.5         1.5            32.5        4.00
   97          Valid   7/7  25/05/12  08:00:06  25/05/12  08:00:05.658     -0.342     40.53939    141.55792        44.88     1.8         2.4            32.5        3.95
   98          Valid   7/7  25/05/12  08:05:06  25/05/12  08:05:05.668     -0.332     40.53928    141.55788        40.40     1.7         1.2            32.0        4.00
   99          Valid   7/7  25/05/12  08:10:06  25/05/12  08:10:05.665     -0.335     40.53930    141.55783        43.69     1.2         2.8            32.0        4.00
  100          Valid   7/7  25/05/12  08:15:07  25/05/12  08:15:06.667     -0.333     40.53931    141.55790        43.02     1.2         0.4            32.5        3.95
  101          Valid   8/8  25/05/12  08:20:06  25/05/12  08:20:05.664     -0.336     40.53932    141.55789        42.54     1.2         1.0            31.5        3.95
  102          Valid   8/8  25/05/12  08:25:06  25/05/12  08:25:05.671     -0.329     40.53931    141.55790        43.14     1.2         1.4            32.0        3.95
  103          Valid   7/7  25/05/12  08:30:06  25/05/12  08:30:05.669     -0.331     40.53928    141.55788        46.43     1.3         1.2            32.5        3.95
  104          Valid   7/7  25/05/12  08:35:06  25/05/12  08:35:05.667     -0.333     40.53930    141.55797        45.76     1.3         0.4            32.5        3.95
  105          Valid   7/7  25/05/12  08:40:06  25/05/12  08:40:05.669     -0.331     40.53930    141.55796        46.77     1.4         1.0            32.5        3.95
  106          Valid   8/8  25/05/12  08:45:07  25/05/12  08:45:06.659     -0.341     40.53930    141.55795        44.07     1.2         1.5            32.5        3.95
  107          Valid   7/7  25/05/12  08:50:06  25/05/12  08:50:05.661     -0.339     40.53930    141.55794        44.65     1.4         0.6            31.0        3.95
  108          Valid   7/7  25/05/12  08:55:06  25/05/12  08:55:05.658     -0.342     40.53930    141.55791        40.41     1.3         0.5            30.5        3.95
  109          Valid   7/7  25/05/12  09:00:06  25/05/12  09:00:05.659     -0.341     40.53928    141.55794        40.66     1.3         0.4            30.5        3.95
  110          Valid   6/6  25/05/12  09:05:08  25/05/12  09:05:07.658     -0.342     40.53932    141.55791        40.08     1.7         0.2            30.5        3.95
  111          Valid   7/7  25/05/12  09:10:07  25/05/12  09:10:06.659     -0.341     40.53928    141.55792        43.01     1.3         0.9            31.0        3.95
  112          Valid   7/7  25/05/12  09:15:09  25/05/12  09:15:08.658     -0.342     40.53927    141.55798        48.94     1.4         1.4            32.5        3.95
  113          Valid   7/7  25/05/12  09:20:07  25/05/12  09:20:06.652     -0.348     40.53932    141.55789        43.31     1.4         0.7            32.5        3.95
  114          Valid   7/7  25/05/12  09:25:07  25/05/12  09:25:06.648     -0.352     40.53932    141.55785        51.49     1.4         1.5            33.0        3.95
  115          Valid   7/7  25/05/12  09:30:06  25/05/12  09:30:05.650     -0.350     40.53931    141.55791        45.79     1.5         1.1            32.5        3.95
  116          Valid   7/7  25/05/12  09:35:06  25/05/12  09:35:05.653     -0.347     40.53931    141.55788        41.34     2.6         1.6            32.5        3.95
  117          Valid   8/8  25/05/12  09:40:07  25/05/12  09:40:06.647     -0.353     40.53934    141.55789        47.17     2.2         0.8            33.0        3.95
  118          Valid   7/7  25/05/12  09:45:07  25/05/12  09:45:06.649     -0.351     40.53932    141.55787        45.72     2.4         0.4            33.0        3.95
  119          Valid   8/8  25/05/12  09:50:06  25/05/12  09:50:05.653     -0.347     40.53931    141.55791        40.37     2.4         1.2            33.0        3.95
  120          Valid   8/8  25/05/12  09:55:07  25/05/12  09:55:06.643     -0.357     40.53932    141.55784        42.61     1.3         0.6            33.5        3.95
  121          Valid   7/7  25/05/12  10:00:06  25/05/12  10:00:05.644     -0.356     40.53932    141.55784        42.11     1.5         0.7            33.0        3.95
  122          Valid   7/7  25/05/12  10:05:06  25/05/12  10:05:05.647     -0.353     40.53930    141.55796        45.85     1.4         0.5            33.0        3.95
  123          Valid   5/7  25/05/12  10:10:06  25/05/12  10:10:05.649     -0.351     40.53836    141.55945        74.79     2.4         0.8            29.5        3.95
  124          Valid   7/8  25/05/12  10:15:06  25/05/12  10:15:05.643     -0.357     40.53892    141.55643        39.93     1.5         1.0            22.5        3.95
  125          Valid   7/7  25/05/12  10:20:07  25/05/12  10:20:06.637     -0.363     40.53892    141.55641        38.23     2.9         0.4            25.0        3.95
  126          Valid   8/8  25/05/12  10:25:11  25/05/12  10:25:10.646     -0.354     40.53893    141.55642        38.94     1.5         0.8            27.0        3.95
  127          Valid   8/8  25/05/12  10:30:06  25/05/12  10:30:05.642     -0.358     40.53885    141.55644        42.36     1.4         1.2            25.0        3.95
  128          Valid   8/8  25/05/12  10:35:06  25/05/12  10:35:05.637     -0.363     40.53889    141.55647        38.47     2.1         1.3            26.0        3.95
  129          Valid   6/7  25/05/12  10:40:06  25/05/12  10:40:05.643     -0.357     40.54087    141.55482        57.31     1.3        -1.2            26.5        3.95
  130          Valid   7/7  25/05/12  10:45:12  25/05/12  10:45:12.001      0.001     40.56474    141.54841        56.41     3.0         0.8            24.5        3.95
  131          Valid   7/7  25/05/12  10:50:06  25/05/12  10:50:05.633     -0.367     40.58389    141.54848        37.24     2.8         0.7            23.5        3.95
  132          Valid   7/7  25/05/12  10:55:06  25/05/12  10:55:05.635     -0.365     40.58564    141.54851        37.78     1.5         0.5            25.0        3.95
  133          Valid   8/8  25/05/12  11:00:06  25/05/12  11:00:05.638     -0.362     40.58581    141.54968        37.56     1.2         0.8            27.5        3.95
  134          Valid   8/8  25/05/12  11:05:06  25/05/12  11:05:05.633     -0.367     40.58562    141.55070        39.81     1.2         0.6            28.5        3.95
  135          Valid   8/8  25/05/12  11:10:07  25/05/12  11:10:06.634     -0.366     40.58882    141.55083        50.55     1.3         0.8            28.0        3.95
  136          Valid   8/8  25/05/12  11:15:06  25/05/12  11:15:05.636     -0.364     40.61139    141.55192        44.63     1.2         0.7            23.5        3.95
  137          Valid   8/8  25/05/12  11:20:06  25/05/12  11:20:05.641     -0.359     40.61148    141.55525        44.46     1.1         1.0            22.0        3.95
  138          Valid   8/8  25/05/12  11:25:08  25/05/12  11:25:07.630     -0.370     40.63061    141.55113        41.25     1.1         0.8            22.0        3.95
  139          Valid   7/7  25/05/12  11:30:06  25/05/12  11:30:05.630     -0.370     40.63579    141.54458        43.04     1.7         1.0            21.0        3.95
  140          Valid   7/7  25/05/12  11:35:06  25/05/12  11:35:05.630     -0.370     40.64490    141.53665        41.63     1.5         0.8            22.5        3.95
  141          Valid   7/7  25/05/12  11:40:07  25/05/12  11:40:06.619     -0.381     40.64840    141.52901        41.70     1.3         0.6            24.0        3.95
  142          Valid   8/8  25/05/12  11:45:06  25/05/12  11:45:05.625     -0.375     40.64904    141.52900        42.05     1.5         0.8            26.5        3.95
  143          Valid   7/8  25/05/12  11:50:06  25/05/12  11:50:05.623     -0.377     40.65785    141.52211        54.65     1.5         1.0            23.5        3.95
  144          Valid   7/8  25/05/12  11:55:07  25/05/12  11:55:06.622     -0.378     40.67342    141.50478        46.24     1.5         0.8            22.5        3.95
  145          Valid   7/8  25/05/12  12:00:06  25/05/12  12:00:05.622     -0.378     40.68683    141.50122        49.46     1.4         1.2            22.0        3.95
  146          Valid   8/8  25/05/12  12:05:06  25/05/12  12:05:05.623     -0.377     40.69496    141.49449        39.73     1.3         0.7            22.5        3.95
  147          Valid   8/8  25/05/12  12:10:07  25/05/12  12:10:06.626     -0.374     40.69533    141.49463        41.88     1.4         0.7            26.0        3.95
  148          Valid   6/7  25/05/12  12:15:09  25/05/12  12:15:08.624     -0.376     40.70612    141.49851        49.42     1.1         0.5            24.0        3.95
  149          Valid   8/8  25/05/12  12:20:06  25/05/12  12:20:05.616     -0.384     40.71210    141.51432        36.24     1.0         1.2            22.0        3.95
  150          Valid   7/7  25/05/12  12:25:12  25/05/12  12:25:12.004      0.004     40.71487    141.51166        40.07     1.2         0.6            25.0        3.95
  151          Valid   7/7  25/05/12  12:30:06  25/05/12  12:30:05.609     -0.391     40.72174    141.54302        41.88     2.0         1.1            22.0        3.95
  152          Valid   7/7  25/05/12  12:35:06  25/05/12  12:35:05.611     -0.389     40.72245    141.55115        41.14     1.8         0.6            24.0        3.95
  153          Valid   8/8  25/05/12  12:40:06  25/05/12  12:40:05.620     -0.380     40.72144    141.55440        37.21     3.5         0.8            24.5        3.95
  154          Valid   8/8  25/05/12  12:45:06  25/05/12  12:45:05.618     -0.382     40.73147    141.54952        52.93     0.9         0.8            22.0        3.95
  155          Valid   8/8  25/05/12  12:50:06  25/05/12  12:50:05.607     -0.393     40.73778    141.55155        41.80     1.3         0.7            23.5        3.95
  156          Valid   5/7  25/05/12  12:55:06  25/05/12  12:55:05.630     -0.370     40.72116    141.55129        58.85     3.2         1.1            22.0        3.95
  157          Valid   6/7  25/05/12  13:00:06  25/05/12  13:00:05.628     -0.372     40.69711    141.55380        65.05     1.5         1.7            21.5        3.95
  158          Valid   8/8  25/05/12  13:05:06  25/05/12  13:05:05.599     -0.401     40.67487    141.54951        53.09     1.8         2.1            21.5        3.95
  159          Valid   7/7  25/05/12  13:10:06  25/05/12  13:10:05.613     -0.387     40.64961    141.54531        41.76     2.6         0.4            21.5        3.95
  160          Valid   8/8  25/05/12  13:15:07  25/05/12  13:15:06.611     -0.389     40.63055    141.53219        49.86     0.9         1.3            21.5        3.95
  161          Valid   7/7  25/05/12  13:20:06  25/05/12  13:20:05.604     -0.396     40.61076    141.52696        40.69     1.5         0.8            21.5        3.95
  162          Valid   7/7  25/05/12  13:25:06  25/05/12  13:25:05.606     -0.394     40.60780    141.52804        40.16     2.0         0.5            24.5        3.95
  163          Valid   8/8  25/05/12  13:30:06  25/05/12  13:30:05.608     -0.392     40.60817    141.52876        39.72     1.0         0.5            27.0        3.95
  164          Valid   8/8  25/05/12  13:35:06  25/05/12  13:35:05.601     -0.399     40.60282    141.53640        48.39     0.9         1.5            24.5        3.95
  165          Valid   6/8  25/05/12  13:40:06  25/05/12  13:40:05.602     -0.398     40.58662    141.55303        47.01     1.1         0.7            22.5        3.95
  166          Valid   7/7  25/05/12  13:45:06  25/05/12  13:45:05.606     -0.394     40.56741    141.56590        45.14     1.3         1.0            22.0        3.95
  167          Valid   7/7  25/05/12  13:50:06  25/05/12  13:50:05.604     -0.396     40.55048    141.56615        40.88     1.7         0.9            22.5        3.95
  168          Valid   7/8  25/05/12  13:55:07  25/05/12  13:55:06.597     -0.403     40.53928    141.55797        51.00     1.7         2.1            24.0        3.95
  169          Valid   7/7  25/05/12  14:00:06  25/05/12  14:00:05.603     -0.397     40.53930    141.55793        49.35     1.7         1.1            26.0        3.95
  170          Valid   7/7  25/05/12  14:05:06  25/05/12  14:05:05.599     -0.401     40.53933    141.55798        42.12     1.5         1.3            27.5        3.95
  171          Valid   7/7  25/05/12  14:10:06  25/05/12  14:10:05.595     -0.405     40.53931    141.55792        46.58     1.4         1.1            28.5        3.95
  172          Valid   7/7  25/05/12  14:15:07  25/05/12  14:15:06.594     -0.406     40.53931    141.55792        48.51     1.4         0.6            28.5        3.95
  173          Valid   5/6  25/05/12  14:20:06  25/05/12  14:20:05.582     -0.418     40.53953    141.55806        89.00     2.4        -4.0            28.5        3.95
  174          Valid   7/7  25/05/12  14:25:07  25/05/12  14:25:06.596     -0.404     40.53929    141.55794        45.23     1.3         2.0            29.5        3.95
  175          Valid   6/6  25/05/12  14:30:07  25/05/12  14:30:06.592     -0.408     40.53933    141.55791        50.79     1.5         0.8            29.5        3.95
  176          Valid   6/6  25/05/12  14:35:06  25/05/12  14:35:05.586     -0.414     40.53931    141.55790        52.35     1.3         1.1            28.5        3.95
  177          Valid   7/7  25/05/12  14:40:06  25/05/12  14:40:05.591     -0.409     40.53933    141.55790        50.82     1.2         1.3            28.5        3.95
  178          Valid   7/7  25/05/12  14:45:06  25/05/12  14:45:05.592     -0.408     40.53929    141.55789        49.19     1.2         0.9            28.5        3.95
  179          Valid   7/7  25/05/12  14:50:06  25/05/12  14:50:05.590     -0.410     40.53929    141.55790        49.08     1.2         0.7            28.5        3.95
  180          Valid   7/7  25/05/12  14:55:06  25/05/12  14:55:05.584     -0.416     40.53931    141.55789        55.53     1.3         0.6            29.0        3.95
  181          Valid   6/6  25/05/12  15:00:06  25/05/12  15:00:05.581     -0.419     40.53932    141.55792        54.26     1.4         0.7            28.5        3.95
  182          Valid   8/8  25/05/12  15:05:06  25/05/12  15:05:05.577     -0.423     40.53932    141.55795        56.45     1.3         0.8            28.5        3.95
  183          Valid   8/8  25/05/12  15:10:06  25/05/12  15:10:05.580     -0.420     40.53932    141.55795        53.06     1.3         0.8            29.0        3.95
  184          Valid   8/8  25/05/12  15:15:06  25/05/12  15:15:05.584     -0.416     40.53929    141.55798        47.10     1.4         0.9            29.5        3.95
  185          Valid   7/7  25/05/12  15:20:06  25/05/12  15:20:05.575     -0.425     40.53932    141.55790        43.68     1.5         2.2            30.0        3.95
  186          Valid   8/8  25/05/12  15:25:06  25/05/12  15:25:05.582     -0.418     40.53928    141.55793        52.43     1.5         1.4            30.0        3.95
  187          Valid   8/8  25/05/12  15:30:06  25/05/12  15:30:05.573     -0.427     40.53932    141.55794        53.14     1.5         1.2            30.5        3.95
  188          Valid   7/7  25/05/12  15:35:07  25/05/12  15:35:06.573     -0.427     40.53930    141.55788        54.52     1.3         0.6            30.5        3.95
  189          Valid   7/7  25/05/12  15:40:07  25/05/12  15:40:06.579     -0.421     40.53927    141.55793        55.45     1.1         1.6            30.5        3.95
  190          Valid   7/7  25/05/12  15:45:11  25/05/12  15:45:10.567     -0.433     40.53935    141.55794        49.34     1.2         2.1            31.5        3.95
  191          Valid   6/6  25/05/12  15:50:07  25/05/12  15:50:06.573     -0.427     40.53928    141.55792        57.66     1.3         0.7            30.0        3.95
  192          Valid   6/6  25/05/12  15:55:06  25/05/12  15:55:05.568     -0.432     40.53929    141.55792        49.21     1.3         0.9            30.0        3.95
