Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   7/7  25/05/12  00:00:06  25/05/12  00:00:05.836     -0.164     40.53934    141.55791        43.48     1.4         1.0            35.0        4.00
    2          Valid   6/6  25/05/12  00:05:16  25/05/12  00:05:15.600     -0.400     40.53935    141.55792        42.78     1.6         0.9            37.5        4.00
    3          Valid   6/6  25/05/12  00:10:12  25/05/12  00:10:11.739     -0.261     40.53930    141.55791        44.45     1.7         0.5            36.5        4.00
    4          Valid   6/6  25/05/12  00:15:11  25/05/12  00:15:10.739     -0.261     40.53932    141.55795        44.02     1.6         0.4            36.0        4.00
    5          Valid   7/7  25/05/12  00:20:09  25/05/12  00:20:08.734     -0.266     40.53928    141.55795        51.46     1.6         1.9            35.5        4.00
    6          Valid   6/6  25/05/12  00:25:08  25/05/12  00:25:07.741     -0.259     40.53932    141.55797        46.89     2.6         0.5            35.0        4.00
    7          Valid   5/5  25/05/12  00:30:10  25/05/12  00:30:09.738     -0.262     40.53935    141.55793        46.55     4.0         0.4            36.5        4.00
    8          Valid   6/6  25/05/12  00:35:07  25/05/12  00:35:06.740     -0.260     40.53929    141.55797        45.65     2.4         0.5            35.5        4.00
    9          Valid   6/6  25/05/12  00:40:07  25/05/12  00:40:06.739     -0.261     40.53932    141.55793        44.81     2.1         0.5            36.0        4.00
   10          Valid   6/6  25/05/12  00:45:06  25/05/12  00:45:05.744     -0.256     40.53934    141.55800        45.52     4.1         0.5            36.5        4.00
   11          Valid   7/7  25/05/12  00:50:08  25/05/12  00:50:07.743     -0.257     40.53930    141.55796        42.90     1.6         0.6            37.0        4.00
   12          Valid   6/6  25/05/12  00:55:08  25/05/12  00:55:07.750     -0.250     40.53946    141.55802        51.85     4.4         1.3            36.0        4.00
   13          Valid   8/8  25/05/12  01:00:06  25/05/12  01:00:05.736     -0.264     40.53932    141.55785        47.44     2.4         1.1            35.0        4.00
   14          Valid   6/6  25/05/12  01:05:07  25/05/12  01:05:06.736     -0.264     40.53931    141.55790        46.71     4.1         1.2            36.0        4.00
   15          Valid   7/7  25/05/12  01:10:06  25/05/12  01:10:05.739     -0.261     40.53932    141.55793        48.27     2.6         0.7            36.5        4.00
   16          Valid   6/6  25/05/12  01:15:07  25/05/12  01:15:06.732     -0.268     40.53935    141.55790        48.67     4.5         0.3            37.0        4.00
   17          Valid   6/6  25/05/12  01:20:07  25/05/12  01:20:06.735     -0.265     40.53932    141.55792        47.76     3.5         1.1            37.0        4.00
   18          Valid   7/7  25/05/12  01:25:07  25/05/12  01:25:06.728     -0.272     40.53931    141.55788        48.75     2.8         1.3            38.0        4.00
   19          Valid   8/8  25/05/12  01:30:08  25/05/12  01:30:07.739     -0.261     40.53933    141.55796        48.94     3.0         0.6            39.5        4.00
   20          Valid   7/7  25/05/12  01:35:06  25/05/12  01:35:05.735     -0.265     40.53933    141.55794        50.73     4.0         1.3            39.0        4.00
   21          Valid   8/8  25/05/12  01:40:07  25/05/12  01:40:06.729     -0.271     40.53930    141.55787        46.92     3.5         1.0            39.0        4.00
   22          Valid   8/8  25/05/12  01:45:06  25/05/12  01:45:05.737     -0.263     40.53937    141.55798        51.87     3.6         1.4            39.0        4.00
   23          Valid   7/7  25/05/12  01:50:06  25/05/12  01:50:05.731     -0.269     40.53930    141.55791        45.14     3.8         0.6            39.0        4.00
   24          Valid   7/7  25/05/12  01:55:07  25/05/12  01:55:06.729     -0.271     40.53932    141.55790        48.54     3.6         1.0            38.5        4.00
   25          Valid   6/6  25/05/12  02:00:06  25/05/12  02:00:05.725     -0.275     40.53923    141.55780        44.34     4.7         0.7            37.5        4.00
   26          Valid   6/6  25/05/12  02:05:09  25/05/12  02:05:08.731     -0.269     40.53933    141.55791        43.53     2.9         0.5            38.0        4.00
   27          Valid   7/7  25/05/12  02:10:06  25/05/12  02:10:05.732     -0.268     40.53933    141.55791        43.74     2.6         0.5            37.5        4.00
   28          Valid   7/7  25/05/12  02:15:06  25/05/12  02:15:05.729     -0.271     40.53932    141.55792        45.07     2.3         0.5            38.5        4.00
   29          Valid   7/7  25/05/12  02:20:07  25/05/12  02:20:06.727     -0.273     40.53929    141.55791        41.80     2.1         0.9            39.5        4.00
   30          Valid   7/7  25/05/12  02:25:07  25/05/12  02:25:06.725     -0.275     40.53929    141.55787        40.26     1.9         0.6            40.5        4.00
   31          Valid   7/7  25/05/12  02:30:07  25/05/12  02:30:06.729     -0.271     40.53930    141.55791        41.54     1.8         0.6            41.0        4.00
   32          Valid   7/7  25/05/12  02:35:06  25/05/12  02:35:05.726     -0.274     40.53930    141.55787        42.17     1.7         1.1            41.0        4.00
   33          Valid   7/7  25/05/12  02:40:06  25/05/12  02:40:05.730     -0.270     40.53929    141.55788        41.46     1.7         0.6            40.5        4.00
   34          Valid   8/8  25/05/12  02:45:07  25/05/12  02:45:06.727     -0.273     40.53932    141.55790        44.08     1.6         0.7            41.5        4.00
   35          Valid   6/6  25/05/12  02:50:07  25/05/12  02:50:06.733     -0.267     40.53929    141.55792        44.63     2.1         0.6            42.0        4.00
   36          Valid   6/6  25/05/12  02:55:07  25/05/12  02:55:06.734     -0.266     40.53927    141.55793        44.37     2.2         0.2            40.5        4.00
   37          Valid   6/6  25/05/12  03:00:07  25/05/12  03:00:06.729     -0.271     40.53932    141.55790        43.51     2.4         0.4            40.0        4.00
   38          Valid   6/6  25/05/12  03:05:07  25/05/12  03:05:06.730     -0.270     40.53930    141.55792        43.30     2.6         0.6            39.0        4.00
   39          Valid   6/6  25/05/12  03:10:07  25/05/12  03:10:06.731     -0.269     40.53933    141.55788        44.71     3.0         0.7            38.0        4.00
   40          Valid   6/6  25/05/12  03:15:07  25/05/12  03:15:06.730     -0.270     40.53932    141.55788        41.87     3.5         0.9            37.5        4.00
   41          Valid   6/6  25/05/12  03:20:06  25/05/12  03:20:05.733     -0.267     40.53928    141.55793        47.70     4.0         1.2            37.0        4.00
   42          Valid   7/7  25/05/12  03:25:06  25/05/12  03:25:05.730     -0.270     40.53929    141.55790        44.83     4.4         0.6            37.0        4.00
   43          Valid   7/7  25/05/12  03:30:06  25/05/12  03:30:05.734     -0.266     40.53928    141.55792        46.51     4.8         0.9            37.0        4.00
   44          Valid   7/7  25/05/12  03:35:06  25/05/12  03:35:05.729     -0.271     40.53932    141.55789        46.21     4.7         0.5            36.5        4.00
   45          Valid   8/8  25/05/12  03:40:06  25/05/12  03:40:05.730     -0.270     40.53933    141.55788        45.56     1.1         0.7            37.0        4.00
   46          Valid   7/7  25/05/12  03:45:06  25/05/12  03:45:05.722     -0.278     40.53930    141.55789        45.13     1.2         0.9            37.5        4.00
   47          Valid   7/7  25/05/12  03:50:06  25/05/12  03:50:05.727     -0.273     40.53929    141.55798        45.29     1.2         1.2            38.0        4.00
   48          Valid   6/6  25/05/12  03:55:07  25/05/12  03:55:06.730     -0.270     40.53847    141.55808        47.22     4.5         1.6            34.5        4.00
   49          Valid   8/8  25/05/12  04:00:06  25/05/12  04:00:05.727     -0.273     40.53838    141.55867        37.10     2.4         1.2            25.0        4.00
   50          Valid   8/8  25/05/12  04:05:06  25/05/12  04:05:05.723     -0.277     40.53836    141.55863        37.42     1.2         0.5            26.0        4.00
   51          Valid   7/7  25/05/12  04:10:06  25/05/12  04:10:05.739     -0.261     40.53632    141.54044        35.24     1.4         1.0            23.0        4.00
   52          Valid   7/7  25/05/12  04:15:06  25/05/12  04:15:05.725     -0.275     40.54391    141.51257        36.74     1.3         0.7            23.5        4.00
   53          Valid   8/8  25/05/12  04:20:08  25/05/12  04:20:07.711     -0.289     40.54214    141.50541        36.89     1.1         0.8            20.0        4.00
   54          Valid   8/8  25/05/12  04:25:07  25/05/12  04:25:06.726     -0.274     40.54284    141.51062        41.12     1.2         2.1            21.0        4.00
   55          Valid   7/7  25/05/12  04:30:06  25/05/12  04:30:05.721     -0.279     40.53892    141.53141        94.60     1.1         0.7            22.0        4.00
   56          Valid   7/7  25/05/12  04:35:11  25/05/12  04:35:10.721     -0.279     40.53646    141.53961        43.03     2.2         0.9            27.5        4.00
   57          Valid   7/7  25/05/12  04:40:07  25/05/12  04:40:06.713     -0.287     40.53645    141.53954        30.11     1.8         0.6            29.0        4.00
   58          Valid   8/8  25/05/12  04:45:06  25/05/12  04:45:05.723     -0.277     40.53646    141.53944        45.48     1.0         1.2            29.5        4.00
   59          Valid   7/7  25/05/12  04:50:07  25/05/12  04:50:06.718     -0.282     40.53649    141.53945        41.32     1.7         0.7            31.0        4.00
   60          Valid   8/8  25/05/12  04:55:09  25/05/12  04:55:08.710     -0.290     40.53623    141.54265        52.06     0.9         1.4            31.0        4.00
   61          Valid   6/6  25/05/12  05:00:06  25/05/12  05:00:05.709     -0.291     40.53923    141.55786        33.58     1.8         0.8            26.5        4.00
   62          Valid   7/7  25/05/12  05:05:08  25/05/12  05:05:07.712     -0.288     40.53926    141.55785        40.43     1.9         0.8            31.0        4.00
   63          Valid   6/6  25/05/12  05:10:07  25/05/12  05:10:06.715     -0.285     40.53921    141.55779        34.60     1.8         0.5            32.5        4.00
   64          Valid   7/7  25/05/12  05:15:06  25/05/12  05:15:05.706     -0.294     40.53932    141.55790        42.30     2.0         1.3            33.0        4.00
   65          Valid   8/8  25/05/12  05:20:07  25/05/12  05:20:06.707     -0.293     40.53984    141.55704        37.83     1.2         1.5            32.0        4.00
   66          Valid   7/7  25/05/12  05:25:12  25/05/12  05:25:12.205      0.205     40.53863    141.55433        39.52     1.9         1.1            25.5        4.00
   67          Valid   8/8  25/05/12  05:30:06  25/05/12  05:30:05.710     -0.290     40.53863    141.55414        41.25     1.1         1.7            26.0        4.00
   68          Valid   7/8  25/05/12  05:35:06  25/05/12  05:35:05.707     -0.293     40.53863    141.55418        39.43     1.2         0.8            27.0        4.00
   69          Valid   8/8  25/05/12  05:40:06  25/05/12  05:40:05.703     -0.297     40.53863    141.55412        37.87     1.2         0.8            27.0        4.00
   70          Valid   6/6  25/05/12  05:45:07  25/05/12  05:45:06.699     -0.301     40.53863    141.55417        51.07     1.8         1.2            28.5        4.00
   71          Valid   7/7  25/05/12  05:50:06  25/05/12  05:50:05.698     -0.302     40.53862    141.55407        40.25     1.4         0.7            29.5        4.00
   72          Valid   7/7  25/05/12  05:55:07  25/05/12  05:55:06.704     -0.296     40.53863    141.55411        40.28     1.4         0.8            30.5        4.00
   73          Valid   7/7  25/05/12  06:00:07  25/05/12  06:00:06.700     -0.300     40.53862    141.55409        35.27     1.4         1.0            31.5        4.00
   74          Valid   8/8  25/05/12  06:05:09  25/05/12  06:05:08.694     -0.306     40.53848    141.55494        41.25     1.2         0.8            31.5        4.00
