time,lon,lat,id,year,logger,time_diff_sec,Nest_Distance,Trip_ID
2025-05-13 21:30:00,141.58306,40.692870000000006,62206,2025,VHF,300,17265.371297283386,2
2025-05-13 21:35:00,141.58382,40.69305000000001,62206,2025,VHF,300,17293.336370478275,2
2025-05-13 21:40:00,141.58458,40.693160000000006,62206,2025,VHF,300,17313.8127351205,2
2025-05-13 21:45:00,141.58539000000002,40.693250000000006,62206,2025,VHF,300,17332.88512167864,2
2025-05-13 21:50:00,141.58607,40.693270000000005,62206,2025,VHF,300,17342.984431339668,2
2025-05-13 21:55:00,141.58686,40.693360000000006,62206,2025,VHF,300,17362.2881216784,2
2025-05-13 22:00:00,141.58768,40.69357000000001,62206,2025,VHF,300,17395.386652138048,2
2025-05-13 22:05:00,141.60255999999998,40.69558000000001,62206,2025,VHF,300,17841.688610746893,2
2025-05-13 22:10:00,141.60726,40.69706,62206,2025,VHF,300,18090.50594230703,2
2025-05-13 22:15:00,141.60771,40.696850000000005,62206,2025,VHF,300,18076.719666355017,2
2025-05-13 22:20:00,141.61712,40.690340000000006,62206,2025,VHF,300,17586.139110546457,2
2025-05-13 22:25:00,141.62148000000002,40.68222,62206,2025,VHF,300,16839.088271712008,2
2025-05-13 22:30:00,141.62454999999997,40.673750000000005,62206,2025,VHF,300,16041.195068880832,2
2025-05-13 22:35:00,141.6238,40.66386,62206,2025,VHF,300,14995.059899712895,2
2025-05-13 22:40:00,141.61701,40.66164,62206,2025,VHF,300,14558.359701200496,2
2025-05-13 22:45:00,141.61467999999996,40.660050000000005,62206,2025,VHF,300,14325.101350839766,2
2025-05-13 22:50:00,141.61504999999997,40.664930000000005,62206,2025,VHF,300,14846.560034573393,2
2025-05-13 22:55:00,141.61473999999998,40.66579000000001,62206,2025,VHF,300,14928.296186756254,2
2025-05-13 23:00:00,141.60734000000002,40.667530000000006,62206,2025,VHF,300,14922.573821484144,2
2025-05-13 23:05:00,141.61342,40.659819999999996,62206,2025,VHF,300,14265.387208384256,2
2025-05-13 23:10:00,141.61099,40.658120000000004,62206,2025,VHF,300,14019.777292487666,2
2025-05-13 23:15:00,141.61182,40.64434,62206,2025,VHF,300,12606.463532874392,2
2025-05-13 23:20:00,141.61455999999995,40.62791000000001,62206,2025,VHF,300,11027.06843032941,2
2025-05-13 23:25:00,141.62403,40.605340000000005,62206,2025,VHF,300,9303.454315370176,2
2025-05-13 23:30:00,141.61737,40.58114,62206,2025,VHF,300,6923.169085622796,2
2025-05-13 23:35:00,141.60562,40.557179999999995,62206,2025,VHF,300,4560.448238447058,2
2025-05-13 23:40:00,141.60153,40.54718,62206,2025,VHF,300,3841.077310970504,2
2025-05-13 23:45:00,141.58716,40.54709,62206,2025,VHF,300,2675.243048956686,2
2025-05-14 03:15:00,141.59012,40.56866,62206,2025,VHF,300,4327.048080369793,3
2025-05-14 03:20:00,141.58952,40.58867,62206,2025,VHF,300,6181.62555774573,3
2025-05-14 03:25:00,141.58186,40.6101,62206,2025,VHF,300,8200.463205358765,3
2025-05-14 03:30:00,141.57747,40.63067,62206,2025,VHF,300,10360.741431648681,3
2025-05-14 03:35:00,141.56338,40.645500000000006,62206,2025,VHF,300,11880.201374507717,3
2025-05-14 03:40:00,141.5411,40.65507,62206,2025,VHF,300,13008.077332261473,3
2025-05-14 03:45:00,141.52598,40.65745999999999,62206,2025,VHF,300,13466.950691960657,3
2025-05-14 03:50:00,141.51462999999998,40.67761,62206,2025,VHF,300,15858.522920220987,3
2025-05-14 03:55:00,141.49512000000001,40.69305000000001,62206,2025,VHF,300,17946.99252284926,3
2025-05-14 04:00:00,141.47404,40.694790000000005,62206,2025,VHF,300,18729.763565140398,3
2025-05-14 04:05:00,141.48981,40.700900000000004,62206,2025,VHF,300,18913.09680921692,3
2025-05-14 04:10:00,141.49459,40.68267,62206,2025,VHF,300,16863.15692621655,3
2025-05-14 04:15:00,141.48140000000004,40.66850000000001,62206,2025,VHF,300,15800.496769646432,3
2025-05-14 04:20:00,141.4727,40.64178,62206,2025,VHF,300,13524.878923967282,3
2025-05-14 04:25:00,141.46408,40.620560000000005,62206,2025,VHF,300,12063.245004285332,3
2025-05-14 04:30:00,141.46479,40.60284,62206,2025,VHF,300,10613.502411158974,3
2025-05-14 04:35:00,141.46385999999998,40.604510000000005,62206,2025,VHF,300,10796.706028766643,3
