id,sex,test_date,test_phase,test_number,LR_observer,LR_bird,obtained
11,F,2024/6/2,habituation,1,L,L,1
11,F,2024/6/2,habituation,2,R,R,1
11,F,2024/6/2,trial,1,R,L,1
11,F,2024/6/2,trial,2,L,failure,0
11,F,2024/6/2,trial,3,R,failure,0
11,F,2024/6/2,trial,4,L,failure,0
11,F,2024/6/2,trial,5,R,L,1
11,F,2024/6/2,trial,6,R,failure,0
11,F,2024/6/2,trial,7,L,failure,0
11,F,2024/6/2,trial,8,R,failure,0
11,F,2024/6/2,trial,9,L,failure,0
11,F,2024/6/2,trial,10,L,R,1
21,M,2024/5/28,habituation,1,L,L,1
21,M,2024/5/28,habituation,2,R,R,1
21,M,2024/5/28,trial,1,L,L,1
21,M,2024/5/28,trial,2,R,L,1
21,M,2024/5/28,trial,3,L,L,1
21,M,2024/5/28,trial,4,R,L,1
21,M,2024/5/28,trial,5,R,L,1
21,M,2024/5/28,trial,6,L,L,1
21,M,2024/5/28,trial,7,L,L,1
21,M,2024/5/28,trial,8,R,L,1
21,M,2024/5/28,trial,9,R,L,1
21,M,2024/5/28,trial,10,L,L,1
8,M,2024/6/1,habituation,1,L,L,1
8,M,2024/6/1,habituation,2,R,R,1
8,M,2024/6/1,trial,1,R,L,1
8,M,2024/6/1,trial,2,L,failure,0
8,M,2024/6/1,trial,3,L,failure,0
8,M,2024/6/1,trial,4,R,failure,0
8,M,2024/6/1,trial,5,L,failure,0
8,M,2024/6/1,trial,6,R,failure,0
8,M,2024/6/1,trial,7,L,failure,0
8,M,2024/6/1,trial,8,L,failure,0
8,M,2024/6/1,trial,9,R,failure,0
8,M,2024/6/1,trial,10,R,failure,0
